location,date,value
02,2021-04-03,0
02,2021-04-10,0
02,2021-04-17,4
02,2021-04-24,7
02,2021-05-01,7
02,2021-05-08,7
02,2021-05-15,7
02,2021-05-22,7
02,2021-05-29,8
02,2021-06-05,7
02,2021-06-12,7
02,2021-06-19,7
02,2021-06-26,7
02,2021-07-03,7
02,2021-07-10,7
02,2021-07-17,7
02,2021-07-24,8
02,2021-07-31,7
02,2021-08-07,7
02,2021-08-14,7
02,2021-08-21,7
02,2021-08-28,7
02,2021-09-04,7
02,2021-09-11,7
02,2021-09-18,7
02,2021-09-25,7
02,2021-10-02,4
02,2021-10-09,0
02,2021-10-16,0
02,2021-10-23,1
02,2021-10-30,0
02,2021-11-06,0
02,2021-11-13,0
02,2021-11-20,0
02,2021-11-27,0
02,2021-12-04,0
02,2021-12-11,0
02,2021-12-18,2
02,2021-12-25,7
02,2022-01-01,8
02,2022-01-08,3
02,2022-01-15,15
02,2022-01-22,12
02,2022-01-29,1
02,2022-02-05,1
02,2022-02-12,0
02,2022-02-19,0
02,2022-02-26,1
02,2022-03-05,0
02,2022-03-12,2
02,2022-03-19,1
02,2022-03-26,3
02,2022-04-02,0
02,2022-04-09,2
02,2022-04-16,2
02,2022-04-23,1
02,2022-04-30,3
02,2022-05-07,4
02,2022-05-14,5
02,2022-05-21,17
02,2022-05-28,3
02,2022-06-04,2
02,2022-06-11,6
02,2022-06-18,1
02,2022-06-25,3
02,2022-07-02,2
02,2022-07-09,3
02,2022-07-16,0
02,2022-07-23,0
02,2022-07-30,0
02,2022-08-06,0
02,2022-08-13,1
02,2022-08-20,1
02,2022-08-27,1
02,2022-09-03,0
02,2022-09-10,5
02,2022-09-17,0
02,2022-09-24,0
02,2022-10-01,2
02,2022-10-08,3
02,2022-10-15,2
02,2022-10-22,3
02,2022-10-29,14
02,2022-11-05,10
02,2022-11-12,20
02,2022-11-19,38
02,2022-11-26,66
02,2022-12-03,58
02,2022-12-10,77
02,2022-12-17,50
02,2022-12-24,44
02,2022-12-31,55
04,2021-01-02,20
04,2021-01-09,18
04,2021-01-16,27
04,2021-01-23,10
04,2021-01-30,12
04,2021-02-06,14
04,2021-02-13,7
04,2021-02-20,15
04,2021-02-27,10
04,2021-03-06,29
04,2021-03-13,10
04,2021-03-20,14
04,2021-03-27,5
04,2021-04-03,11
04,2021-04-10,6
04,2021-04-17,7
04,2021-04-24,3
04,2021-05-01,21
04,2021-05-08,8
04,2021-05-15,13
04,2021-05-22,3
04,2021-05-29,6
04,2021-06-05,13
04,2021-06-12,3
04,2021-06-19,9
04,2021-06-26,3
04,2021-07-03,13
04,2021-07-10,1
04,2021-07-17,5
04,2021-07-24,5
04,2021-07-31,4
04,2021-08-07,4
04,2021-08-14,18
04,2021-08-21,12
04,2021-08-28,7
04,2021-09-04,8
04,2021-09-11,3
04,2021-09-18,4
04,2021-09-25,2
04,2021-10-02,13
04,2021-10-09,27
04,2021-10-16,28
04,2021-10-23,4
04,2021-10-30,8
04,2021-11-06,10
04,2021-11-13,11
04,2021-11-20,11
04,2021-11-27,18
04,2021-12-04,33
04,2021-12-11,30
04,2021-12-18,44
04,2021-12-25,68
04,2022-01-01,149
04,2022-01-08,79
04,2022-01-15,37
04,2022-01-22,27
04,2022-01-29,39
04,2022-02-05,38
04,2022-02-12,63
04,2022-02-19,66
04,2022-02-26,72
04,2022-03-05,91
04,2022-03-12,85
04,2022-03-19,113
04,2022-03-26,131
04,2022-04-02,108
04,2022-04-09,112
04,2022-04-16,101
04,2022-04-23,147
04,2022-04-30,162
04,2022-05-07,176
04,2022-05-14,212
04,2022-05-21,237
04,2022-05-28,196
04,2022-06-04,204
04,2022-06-11,87
04,2022-06-18,52
04,2022-06-25,41
04,2022-07-02,13
04,2022-07-09,15
04,2022-07-16,13
04,2022-07-23,19
04,2022-07-30,21
04,2022-08-06,11
04,2022-08-13,11
04,2022-08-20,18
04,2022-08-27,16
04,2022-09-03,16
04,2022-09-10,5
04,2022-09-17,7
04,2022-09-24,9
04,2022-10-01,10
04,2022-10-08,18
04,2022-10-15,14
04,2022-10-22,22
04,2022-10-29,34
04,2022-11-05,84
04,2022-11-12,153
04,2022-11-19,339
04,2022-11-26,612
04,2022-12-03,821
04,2022-12-10,759
04,2022-12-17,563
04,2022-12-24,609
04,2022-12-31,655
05,2021-01-02,23
05,2021-01-09,26
05,2021-01-16,30
05,2021-01-23,10
05,2021-01-30,25
05,2021-02-06,21
05,2021-02-13,27
05,2021-02-20,12
05,2021-02-27,15
05,2021-03-06,19
05,2021-03-13,22
05,2021-03-20,14
05,2021-03-27,17
05,2021-04-03,10
05,2021-04-10,20
05,2021-04-17,26
05,2021-04-24,24
05,2021-05-01,15
05,2021-05-08,6
05,2021-05-15,4
05,2021-05-22,8
05,2021-05-29,12
05,2021-06-05,7
05,2021-06-12,7
05,2021-06-19,4
05,2021-06-26,3
05,2021-07-03,1
05,2021-07-10,2
05,2021-07-17,0
05,2021-07-24,4
05,2021-07-31,6
05,2021-08-07,5
05,2021-08-14,3
05,2021-08-21,8
05,2021-08-28,7
05,2021-09-04,5
05,2021-09-11,2
05,2021-09-18,5
05,2021-09-25,4
05,2021-10-02,3
05,2021-10-09,4
05,2021-10-16,8
05,2021-10-23,7
05,2021-10-30,3
05,2021-11-06,10
05,2021-11-13,11
05,2021-11-20,9
05,2021-11-27,10
05,2021-12-04,15
05,2021-12-11,11
05,2021-12-18,14
05,2021-12-25,15
05,2022-01-01,33
05,2022-01-08,42
05,2022-01-15,34
05,2022-01-22,21
05,2022-01-29,18
05,2022-02-05,23
05,2022-02-12,24
05,2022-02-19,32
05,2022-02-26,42
05,2022-03-05,58
05,2022-03-12,62
05,2022-03-19,67
05,2022-03-26,89
05,2022-04-02,59
05,2022-04-09,83
05,2022-04-16,50
05,2022-04-23,37
05,2022-04-30,32
05,2022-05-07,23
05,2022-05-14,22
05,2022-05-21,16
05,2022-05-28,16
05,2022-06-04,21
05,2022-06-11,20
05,2022-06-18,13
05,2022-06-25,16
05,2022-07-02,11
05,2022-07-09,6
05,2022-07-16,21
05,2022-07-23,14
05,2022-07-30,5
05,2022-08-06,8
05,2022-08-13,7
05,2022-08-20,4
05,2022-08-27,3
05,2022-09-03,8
05,2022-09-10,6
05,2022-09-17,4
05,2022-09-24,8
05,2022-10-01,10
05,2022-10-08,21
05,2022-10-15,40
05,2022-10-22,50
05,2022-10-29,84
05,2022-11-05,141
05,2022-11-12,212
05,2022-11-19,218
05,2022-11-26,435
05,2022-12-03,468
05,2022-12-10,331
05,2022-12-17,234
05,2022-12-24,189
05,2022-12-31,217
06,2021-01-02,56
06,2021-01-09,83
06,2021-01-16,46
06,2021-01-23,44
06,2021-01-30,20
06,2021-02-06,19
06,2021-02-13,24
06,2021-02-20,19
06,2021-02-27,24
06,2021-03-06,16
06,2021-03-13,18
06,2021-03-20,13
06,2021-03-27,13
06,2021-04-03,5
06,2021-04-10,9
06,2021-04-17,10
06,2021-04-24,19
06,2021-05-01,9
06,2021-05-08,15
06,2021-05-15,8
06,2021-05-22,12
06,2021-05-29,13
06,2021-06-05,7
06,2021-06-12,4
06,2021-06-19,9
06,2021-06-26,15
06,2021-07-03,5
06,2021-07-10,9
06,2021-07-17,14
06,2021-07-24,8
06,2021-07-31,10
06,2021-08-07,16
06,2021-08-14,12
06,2021-08-21,6
06,2021-08-28,8
06,2021-09-04,7
06,2021-09-11,8
06,2021-09-18,6
06,2021-09-25,15
06,2021-10-02,12
06,2021-10-09,14
06,2021-10-16,10
06,2021-10-23,17
06,2021-10-30,8
06,2021-11-06,19
06,2021-11-13,19
06,2021-11-20,25
06,2021-11-27,28
06,2021-12-04,54
06,2021-12-11,66
06,2021-12-18,70
06,2021-12-25,118
06,2022-01-01,97
06,2022-01-08,93
06,2022-01-15,81
06,2022-01-22,64
06,2022-01-29,30
06,2022-02-05,32
06,2022-02-12,34
06,2022-02-19,18
06,2022-02-26,34
06,2022-03-05,32
06,2022-03-12,45
06,2022-03-19,57
06,2022-03-26,63
06,2022-04-02,84
06,2022-04-09,106
06,2022-04-16,100
06,2022-04-23,165
06,2022-04-30,218
06,2022-05-07,202
06,2022-05-14,308
06,2022-05-21,386
06,2022-05-28,405
06,2022-06-04,453
06,2022-06-11,397
06,2022-06-18,304
06,2022-06-25,238
06,2022-07-02,192
06,2022-07-09,122
06,2022-07-16,102
06,2022-07-23,64
06,2022-07-30,46
06,2022-08-06,39
06,2022-08-13,38
06,2022-08-20,39
06,2022-08-27,33
06,2022-09-03,35
06,2022-09-10,29
06,2022-09-17,24
06,2022-09-24,35
06,2022-10-01,72
06,2022-10-08,93
06,2022-10-15,97
06,2022-10-22,124
06,2022-10-29,211
06,2022-11-05,456
06,2022-11-12,928
06,2022-11-19,1616
06,2022-11-26,2790
06,2022-12-03,3138
06,2022-12-10,2275
06,2022-12-17,1576
06,2022-12-24,1577
06,2022-12-31,1383
08,2021-01-02,5
08,2021-01-09,0
08,2021-01-16,4
08,2021-01-23,6
08,2021-01-30,5
08,2021-02-06,1
08,2021-02-13,1
08,2021-02-20,1
08,2021-02-27,1
08,2021-03-06,8
08,2021-03-13,1
08,2021-03-20,5
08,2021-03-27,1
08,2021-04-03,0
08,2021-04-10,1
08,2021-04-17,0
08,2021-04-24,1
08,2021-05-01,0
08,2021-05-08,0
08,2021-05-15,5
08,2021-05-22,6
08,2021-05-29,1
08,2021-06-05,0
08,2021-06-12,0
08,2021-06-19,0
08,2021-06-26,0
08,2021-07-03,1
08,2021-07-10,5
08,2021-07-17,0
08,2021-07-24,1
08,2021-07-31,2
08,2021-08-07,4
08,2021-08-14,2
08,2021-08-21,3
08,2021-08-28,3
08,2021-09-04,5
08,2021-09-11,1
08,2021-09-18,4
08,2021-09-25,3
08,2021-10-02,0
08,2021-10-09,6
08,2021-10-16,1
08,2021-10-23,4
08,2021-10-30,4
08,2021-11-06,6
08,2021-11-13,4
08,2021-11-20,4
08,2021-11-27,4
08,2021-12-04,18
08,2021-12-11,30
08,2021-12-18,41
08,2021-12-25,53
08,2022-01-01,63
08,2022-01-08,27
08,2022-01-15,29
08,2022-01-22,9
08,2022-01-29,11
08,2022-02-05,20
08,2022-02-12,27
08,2022-02-19,22
08,2022-02-26,27
08,2022-03-05,25
08,2022-03-12,42
08,2022-03-19,60
08,2022-03-26,94
08,2022-04-02,117
08,2022-04-09,105
08,2022-04-16,146
08,2022-04-23,187
08,2022-04-30,168
08,2022-05-07,260
08,2022-05-14,171
08,2022-05-21,110
08,2022-05-28,91
08,2022-06-04,72
08,2022-06-11,33
08,2022-06-18,27
08,2022-06-25,9
08,2022-07-02,14
08,2022-07-09,11
08,2022-07-16,11
08,2022-07-23,8
08,2022-07-30,9
08,2022-08-06,14
08,2022-08-13,8
08,2022-08-20,11
08,2022-08-27,1
08,2022-09-03,1
08,2022-09-10,3
08,2022-09-17,3
08,2022-09-24,4
08,2022-10-01,3
08,2022-10-08,1
08,2022-10-15,5
08,2022-10-22,15
08,2022-10-29,32
08,2022-11-05,32
08,2022-11-12,61
08,2022-11-19,114
08,2022-11-26,157
08,2022-12-03,160
08,2022-12-10,243
08,2022-12-17,255
08,2022-12-24,350
08,2022-12-31,311
09,2021-01-02,1
09,2021-01-09,1
09,2021-01-16,1
09,2021-01-23,0
09,2021-01-30,0
09,2021-02-06,0
09,2021-02-13,0
09,2021-02-20,0
09,2021-02-27,0
09,2021-03-06,0
09,2021-03-13,0
09,2021-03-20,0
09,2021-03-27,0
09,2021-04-03,0
09,2021-04-10,0
09,2021-04-17,0
09,2021-04-24,0
09,2021-05-01,0
09,2021-05-08,1
09,2021-05-15,0
09,2021-05-22,0
09,2021-05-29,0
09,2021-06-05,0
09,2021-06-12,0
09,2021-06-19,0
09,2021-06-26,0
09,2021-07-03,0
09,2021-07-10,0
09,2021-07-17,0
09,2021-07-24,0
09,2021-07-31,1
09,2021-08-07,0
09,2021-08-14,0
09,2021-08-21,0
09,2021-08-28,0
09,2021-09-04,0
09,2021-09-11,0
09,2021-09-18,0
09,2021-09-25,0
09,2021-10-02,0
09,2021-10-09,0
09,2021-10-16,0
09,2021-10-23,0
09,2021-10-30,0
09,2021-11-06,0
09,2021-11-13,0
09,2021-11-20,2
09,2021-11-27,3
09,2021-12-04,14
09,2021-12-11,16
09,2021-12-18,16
09,2021-12-25,25
09,2022-01-01,21
09,2022-01-08,8
09,2022-01-15,2
09,2022-01-22,11
09,2022-01-29,2
09,2022-02-05,4
09,2022-02-12,0
09,2022-02-19,1
09,2022-02-26,7
09,2022-03-05,7
09,2022-03-12,6
09,2022-03-19,18
09,2022-03-26,25
09,2022-04-02,30
09,2022-04-09,44
09,2022-04-16,51
09,2022-04-23,50
09,2022-04-30,57
09,2022-05-07,76
09,2022-05-14,79
09,2022-05-21,63
09,2022-05-28,34
09,2022-06-04,20
09,2022-06-11,37
09,2022-06-18,14
09,2022-06-25,4
09,2022-07-02,9
09,2022-07-09,4
09,2022-07-16,3
09,2022-07-23,6
09,2022-07-30,4
09,2022-08-06,3
09,2022-08-13,0
09,2022-08-20,2
09,2022-08-27,9
09,2022-09-03,4
09,2022-09-10,3
09,2022-09-17,4
09,2022-09-24,3
09,2022-10-01,2
09,2022-10-08,3
09,2022-10-15,9
09,2022-10-22,9
09,2022-10-29,37
09,2022-11-05,41
09,2022-11-12,58
09,2022-11-19,104
09,2022-11-26,199
09,2022-12-03,424
09,2022-12-10,419
09,2022-12-17,352
09,2022-12-24,275
09,2022-12-31,248
10,2021-01-02,0
10,2021-01-09,0
10,2021-01-16,3
10,2021-01-23,0
10,2021-01-30,0
10,2021-02-06,0
10,2021-02-13,0
10,2021-02-20,0
10,2021-02-27,0
10,2021-03-06,0
10,2021-03-13,0
10,2021-03-20,0
10,2021-03-27,0
10,2021-04-03,0
10,2021-04-10,0
10,2021-04-17,1
10,2021-04-24,1
10,2021-05-01,0
10,2021-05-08,0
10,2021-05-15,0
10,2021-05-22,0
10,2021-05-29,0
10,2021-06-05,0
10,2021-06-12,0
10,2021-06-19,0
10,2021-06-26,0
10,2021-07-03,0
10,2021-07-10,0
10,2021-07-17,0
10,2021-07-24,0
10,2021-07-31,1
10,2021-08-07,0
10,2021-08-14,0
10,2021-08-21,1
10,2021-08-28,2
10,2021-09-04,0
10,2021-09-11,0
10,2021-09-18,1
10,2021-09-25,0
10,2021-10-02,1
10,2021-10-09,0
10,2021-10-16,3
10,2021-10-23,0
10,2021-10-30,3
10,2021-11-06,1
10,2021-11-13,2
10,2021-11-20,6
10,2021-11-27,5
10,2021-12-04,9
10,2021-12-11,10
10,2021-12-18,13
10,2021-12-25,10
10,2022-01-01,17
10,2022-01-08,9
10,2022-01-15,6
10,2022-01-22,5
10,2022-01-29,1
10,2022-02-05,0
10,2022-02-12,2
10,2022-02-19,3
10,2022-02-26,1
10,2022-03-05,1
10,2022-03-12,7
10,2022-03-19,6
10,2022-03-26,7
10,2022-04-02,4
10,2022-04-09,14
10,2022-04-16,41
10,2022-04-23,18
10,2022-04-30,6
10,2022-05-07,7
10,2022-05-14,4
10,2022-05-21,4
10,2022-05-28,4
10,2022-06-04,9
10,2022-06-11,5
10,2022-06-18,2
10,2022-06-25,4
10,2022-07-02,0
10,2022-07-09,1
10,2022-07-16,1
10,2022-07-23,0
10,2022-07-30,2
10,2022-08-06,0
10,2022-08-13,1
10,2022-08-20,1
10,2022-08-27,1
10,2022-09-03,3
10,2022-09-10,0
10,2022-09-17,2
10,2022-09-24,0
10,2022-10-01,0
10,2022-10-08,0
10,2022-10-15,0
10,2022-10-22,1
10,2022-10-29,4
10,2022-11-05,11
10,2022-11-12,15
10,2022-11-19,53
10,2022-11-26,48
10,2022-12-03,79
10,2022-12-10,28
10,2022-12-17,27
10,2022-12-24,29
10,2022-12-31,46
11,2021-01-02,0
11,2021-01-09,1
11,2021-01-16,0
11,2021-01-23,1
11,2021-01-30,2
11,2021-02-06,0
11,2021-02-13,0
11,2021-02-20,0
11,2021-02-27,0
11,2021-03-06,0
11,2021-03-13,0
11,2021-03-20,0
11,2021-03-27,0
11,2021-04-03,0
11,2021-04-10,0
11,2021-04-17,0
11,2021-04-24,0
11,2021-05-01,0
11,2021-05-08,0
11,2021-05-15,0
11,2021-05-22,0
11,2021-05-29,0
11,2021-06-05,0
11,2021-06-12,0
11,2021-06-19,0
11,2021-06-26,0
11,2021-07-03,0
11,2021-07-10,1
11,2021-07-17,0
11,2021-07-24,0
11,2021-07-31,0
11,2021-08-07,0
11,2021-08-14,0
11,2021-08-21,0
11,2021-08-28,0
11,2021-09-04,0
11,2021-09-11,0
11,2021-09-18,0
11,2021-09-25,0
11,2021-10-02,0
11,2021-10-09,0
11,2021-10-16,0
11,2021-10-23,0
11,2021-10-30,0
11,2021-11-06,0
11,2021-11-13,0
11,2021-11-20,0
11,2021-11-27,1
11,2021-12-04,1
11,2021-12-11,3
11,2021-12-18,0
11,2021-12-25,0
11,2022-01-01,0
11,2022-01-08,0
11,2022-01-15,0
11,2022-01-22,0
11,2022-01-29,0
11,2022-02-05,3
11,2022-02-12,0
11,2022-02-19,1
11,2022-02-26,0
11,2022-03-05,1
11,2022-03-12,4
11,2022-03-19,4
11,2022-03-26,2
11,2022-04-02,4
11,2022-04-09,2
11,2022-04-16,2
11,2022-04-23,1
11,2022-04-30,4
11,2022-05-07,1
11,2022-05-14,5
11,2022-05-21,4
11,2022-05-28,6
11,2022-06-04,4
11,2022-06-11,1
11,2022-06-18,2
11,2022-06-25,3
11,2022-07-02,1
11,2022-07-09,2
11,2022-07-16,1
11,2022-07-23,0
11,2022-07-30,0
11,2022-08-06,2
11,2022-08-13,0
11,2022-08-20,0
11,2022-08-27,1
11,2022-09-03,0
11,2022-09-10,0
11,2022-09-17,0
11,2022-09-24,1
11,2022-10-01,0
11,2022-10-08,1
11,2022-10-15,2
11,2022-10-22,8
11,2022-10-29,11
11,2022-11-05,36
11,2022-11-12,44
11,2022-11-19,35
11,2022-11-26,70
11,2022-12-03,56
11,2022-12-10,42
11,2022-12-17,20
11,2022-12-24,26
11,2022-12-31,27
12,2021-01-02,42
12,2021-01-09,52
12,2021-01-16,53
12,2021-01-23,65
12,2021-01-30,44
12,2021-02-06,92
12,2021-02-13,53
12,2021-02-20,49
12,2021-02-27,47
12,2021-03-06,53
12,2021-03-13,51
12,2021-03-20,82
12,2021-03-27,78
12,2021-04-03,49
12,2021-04-10,50
12,2021-04-17,73
12,2021-04-24,55
12,2021-05-01,36
12,2021-05-08,51
12,2021-05-15,42
12,2021-05-22,41
12,2021-05-29,37
12,2021-06-05,29
12,2021-06-12,16
12,2021-06-19,28
12,2021-06-26,35
12,2021-07-03,25
12,2021-07-10,34
12,2021-07-17,53
12,2021-07-24,30
12,2021-07-31,41
12,2021-08-07,49
12,2021-08-14,43
12,2021-08-21,34
12,2021-08-28,26
12,2021-09-04,22
12,2021-09-11,30
12,2021-09-18,35
12,2021-09-25,29
12,2021-10-02,32
12,2021-10-09,38
12,2021-10-16,30
12,2021-10-23,48
12,2021-10-30,39
12,2021-11-06,45
12,2021-11-13,65
12,2021-11-20,76
12,2021-11-27,78
12,2021-12-04,90
12,2021-12-11,92
12,2021-12-18,107
12,2021-12-25,116
12,2022-01-01,126
12,2022-01-08,86
12,2022-01-15,132
12,2022-01-22,74
12,2022-01-29,61
12,2022-02-05,79
12,2022-02-12,64
12,2022-02-19,74
12,2022-02-26,66
12,2022-03-05,72
12,2022-03-12,69
12,2022-03-19,73
12,2022-03-26,109
12,2022-04-02,96
12,2022-04-09,103
12,2022-04-16,165
12,2022-04-23,163
12,2022-04-30,179
12,2022-05-07,223
12,2022-05-14,306
12,2022-05-21,406
12,2022-05-28,542
12,2022-06-04,680
12,2022-06-11,556
12,2022-06-18,465
12,2022-06-25,321
12,2022-07-02,205
12,2022-07-09,177
12,2022-07-16,134
12,2022-07-23,97
12,2022-07-30,81
12,2022-08-06,87
12,2022-08-13,89
12,2022-08-20,67
12,2022-08-27,75
12,2022-09-03,70
12,2022-09-10,60
12,2022-09-17,78
12,2022-09-24,81
12,2022-10-01,77
12,2022-10-08,110
12,2022-10-15,105
12,2022-10-22,125
12,2022-10-29,260
12,2022-11-05,304
12,2022-11-12,490
12,2022-11-19,504
12,2022-11-26,803
12,2022-12-03,896
12,2022-12-10,789
12,2022-12-17,865
12,2022-12-24,889
12,2022-12-31,1182
13,2021-01-02,17
13,2021-01-09,23
13,2021-01-16,32
13,2021-01-23,26
13,2021-01-30,29
13,2021-02-06,19
13,2021-02-13,17
13,2021-02-20,25
13,2021-02-27,27
13,2021-03-06,16
13,2021-03-13,20
13,2021-03-20,32
13,2021-03-27,20
13,2021-04-03,16
13,2021-04-10,18
13,2021-04-17,21
13,2021-04-24,15
13,2021-05-01,9
13,2021-05-08,22
13,2021-05-15,4
13,2021-05-22,15
13,2021-05-29,7
13,2021-06-05,12
13,2021-06-12,6
13,2021-06-19,4
13,2021-06-26,2
13,2021-07-03,13
13,2021-07-10,2
13,2021-07-17,5
13,2021-07-24,12
13,2021-07-31,9
13,2021-08-07,13
13,2021-08-14,14
13,2021-08-21,17
13,2021-08-28,13
13,2021-09-04,27
13,2021-09-11,28
13,2021-09-18,17
13,2021-09-25,18
13,2021-10-02,22
13,2021-10-09,4
13,2021-10-16,9
13,2021-10-23,21
13,2021-10-30,22
13,2021-11-06,24
13,2021-11-13,32
13,2021-11-20,22
13,2021-11-27,21
13,2021-12-04,39
13,2021-12-11,52
13,2021-12-18,48
13,2021-12-25,48
13,2022-01-01,69
13,2022-01-08,37
13,2022-01-15,31
13,2022-01-22,51
13,2022-01-29,35
13,2022-02-05,45
13,2022-02-12,38
13,2022-02-19,45
13,2022-02-26,35
13,2022-03-05,28
13,2022-03-12,37
13,2022-03-19,34
13,2022-03-26,33
13,2022-04-02,46
13,2022-04-09,31
13,2022-04-16,41
13,2022-04-23,44
13,2022-04-30,41
13,2022-05-07,43
13,2022-05-14,43
13,2022-05-21,49
13,2022-05-28,64
13,2022-06-04,63
13,2022-06-11,38
13,2022-06-18,36
13,2022-06-25,26
13,2022-07-02,34
13,2022-07-09,23
13,2022-07-16,26
13,2022-07-23,26
13,2022-07-30,33
13,2022-08-06,31
13,2022-08-13,13
13,2022-08-20,19
13,2022-08-27,17
13,2022-09-03,22
13,2022-09-10,38
13,2022-09-17,36
13,2022-09-24,39
13,2022-10-01,54
13,2022-10-08,87
13,2022-10-15,113
13,2022-10-22,119
13,2022-10-29,176
13,2022-11-05,217
13,2022-11-12,250
13,2022-11-19,193
13,2022-11-26,251
13,2022-12-03,252
13,2022-12-10,172
13,2022-12-17,136
13,2022-12-24,135
13,2022-12-31,170
15,2021-01-02,0
15,2021-01-09,0
15,2021-01-16,0
15,2021-01-23,0
15,2021-01-30,0
15,2021-02-06,0
15,2021-02-13,0
15,2021-02-20,0
15,2021-02-27,0
15,2021-03-06,0
15,2021-03-13,0
15,2021-03-20,0
15,2021-03-27,0
15,2021-04-03,0
15,2021-04-10,0
15,2021-04-17,0
15,2021-04-24,0
15,2021-05-01,0
15,2021-05-08,0
15,2021-05-15,0
15,2021-05-22,0
15,2021-05-29,0
15,2021-06-05,0
15,2021-06-12,0
15,2021-06-19,0
15,2021-06-26,0
15,2021-07-03,0
15,2021-07-10,1
15,2021-07-17,1
15,2021-07-24,0
15,2021-07-31,1
15,2021-08-07,1
15,2021-08-14,2
15,2021-08-21,0
15,2021-08-28,0
15,2021-09-04,0
15,2021-09-11,0
15,2021-09-18,1
15,2021-09-25,0
15,2021-10-02,0
15,2021-10-09,0
15,2021-10-16,0
15,2021-10-23,0
15,2021-10-30,0
15,2021-11-06,0
15,2021-11-13,0
15,2021-11-20,0
15,2021-11-27,1
15,2021-12-04,0
15,2021-12-11,0
15,2021-12-18,0
15,2021-12-25,1
15,2022-01-01,0
15,2022-01-08,0
15,2022-01-15,0
15,2022-01-22,0
15,2022-01-29,0
15,2022-02-05,0
15,2022-02-12,0
15,2022-02-19,0
15,2022-02-26,0
15,2022-03-05,0
15,2022-03-12,0
15,2022-03-19,1
15,2022-03-26,0
15,2022-04-02,1
15,2022-04-09,4
15,2022-04-16,10
15,2022-04-23,6
15,2022-04-30,4
15,2022-05-07,1
15,2022-05-14,4
15,2022-05-21,10
15,2022-05-28,9
15,2022-06-04,4
15,2022-06-11,3
15,2022-06-18,4
15,2022-06-25,6
15,2022-07-02,4
15,2022-07-09,2
15,2022-07-16,0
15,2022-07-23,1
15,2022-07-30,2
15,2022-08-06,3
15,2022-08-13,2
15,2022-08-20,0
15,2022-08-27,1
15,2022-09-03,2
15,2022-09-10,1
15,2022-09-17,2
15,2022-09-24,3
15,2022-10-01,5
15,2022-10-08,4
15,2022-10-15,6
15,2022-10-22,4
15,2022-10-29,6
15,2022-11-05,8
15,2022-11-12,25
15,2022-11-19,10
15,2022-11-26,12
15,2022-12-03,12
15,2022-12-10,11
15,2022-12-17,17
15,2022-12-24,31
15,2022-12-31,28
16,2021-01-02,5
16,2021-01-09,2
16,2021-01-16,2
16,2021-01-23,0
16,2021-01-30,0
16,2021-02-06,0
16,2021-02-13,0
16,2021-02-20,0
16,2021-02-27,0
16,2021-03-06,0
